0.000000000000000000e+00,4.001088142395019531e+00,1.188824748992919922e+01
1.001000963151454926e-02,4.022880554199218750e+00,1.234200191497802734e+01
2.002001926302909851e-02,4.046651840209960938e+00,1.275570678710937500e+01
3.003002889454364777e-02,4.062586307525634766e+00,1.313595104217529297e+01
4.004003852605819702e-02,4.093358993530273438e+00,1.347422027587890625e+01
5.005005002021789551e-02,4.123384475708007812e+00,1.378269386291503906e+01
6.006005778908729553e-02,4.138177394866943359e+00,1.405696678161621094e+01
7.007006555795669556e-02,4.167006492614746094e+00,1.427848052978515625e+01
8.008007705211639404e-02,4.197425842285156250e+00,1.447116661071777344e+01
9.009008854627609253e-02,4.209714889526367188e+00,1.462399196624755859e+01
1.001001000404357910e-01,4.230079650878906250e+00,1.474723052978515625e+01
1.101101040840148926e-01,4.266103744506835938e+00,1.484551620483398438e+01
1.201201155781745911e-01,4.285636425018310547e+00,1.489690876007080078e+01
1.301301270723342896e-01,4.317554473876953125e+00,1.492285919189453125e+01
1.401401311159133911e-01,4.328519344329833984e+00,1.492100906372070312e+01
1.501501500606536865e-01,4.373245239257812500e+00,1.489471054077148438e+01
1.601601541042327881e-01,4.388077259063720703e+00,1.485492229461669922e+01
1.701701581478118896e-01,4.415284633636474609e+00,1.478016662597656250e+01
1.801801770925521851e-01,4.427857875823974609e+00,1.469123649597167969e+01
1.901901811361312866e-01,4.478147029876708984e+00,1.458347702026367188e+01
2.002002000808715820e-01,4.492302894592285156e+00,1.445549583435058594e+01
2.102102041244506836e-01,4.523231506347656250e+00,1.432382678985595703e+01
2.202202081680297852e-01,4.544810295104980469e+00,1.417505455017089844e+01
2.302302271127700806e-01,4.576607704162597656e+00,1.401477622985839844e+01
2.402402311563491821e-01,4.589115142822265625e+00,1.384529304504394531e+01
2.502502501010894775e-01,4.619173049926757812e+00,1.366387557983398438e+01
2.602602541446685791e-01,4.640077590942382812e+00,1.348348617553710938e+01
2.702702581882476807e-01,4.674558162689208984e+00,1.330520343780517578e+01
2.802802622318267822e-01,4.702446937561035156e+00,1.310690307617187500e+01
2.902902662754058838e-01,4.724543571472167969e+00,1.291958522796630859e+01
3.003003001213073730e-01,4.762769222259521484e+00,1.272334098815917969e+01
3.103103041648864746e-01,4.774580955505371094e+00,1.253263092041015625e+01
3.203203082084655762e-01,4.810064315795898438e+00,1.233771896362304688e+01
3.303303122520446777e-01,4.835961818695068359e+00,1.213734912872314453e+01
3.403403162956237793e-01,4.861716747283935547e+00,1.194771766662597656e+01
3.503503501415252686e-01,4.882624149322509766e+00,1.175386810302734375e+01
3.603603541851043701e-01,4.911952495574951172e+00,1.155311965942382812e+01
3.703703582286834717e-01,4.941236495971679688e+00,1.135596370697021484e+01
3.803803622722625732e-01,4.973475933074951172e+00,1.115680694580078125e+01
3.903903663158416748e-01,4.996522426605224609e+00,1.095095920562744141e+01
4.004004001617431641e-01,5.020678043365478516e+00,1.075427722930908203e+01
4.104104042053222656e-01,5.054818153381347656e+00,1.054555225372314453e+01
4.204204082489013672e-01,5.078592300415039062e+00,1.032778167724609375e+01
4.304304122924804688e-01,5.098611354827880859e+00,1.011111831665039062e+01
4.404404163360595703e-01,5.137371063232421875e+00,9.887166976928710938e+00
4.504504203796386719e-01,5.165504455566406250e+00,9.655553817749023438e+00
4.604604542255401611e-01,5.184608936309814453e+00,9.407140731811523438e+00
4.704704582691192627e-01,5.222843170166015625e+00,9.173154830932617188e+00
